Date,Pair,Type,Price,Amount,Total,Fee,Fee Coin
04-03-2022,LINKUPUSDT,BUY,0.1492,75,11.19,2.12E-05,BNB
03-03-2022,ADAUPUSDT,BUY,8.631,1.25,10.78875,1.99E-05,BNB
03-03-2022,SANDUSDT,BUY,3.1908,4,12.7632,2.35E-05,BNB
28-02-2022,API3USDT,BUY,6.561,3,19.683,4.06E-05,BNB
28-02-2022,LINKUPUSDT,BUY,0.13114,100,13.114,2.74E-05,BNB
28-02-2022,AVAXUSDT,BUY,73.21,0.15,10.9815,2.30E-05,BNB
27-02-2022,ADAUPUSDT,BUY,7.776,1.5,11.664,2.36E-05,BNB
25-02-2022,MCUSDT,BUY,2.21,10,22.1,4.48E-05,BNB
25-02-2022,CAKEUSDT,BUY,6.34,2.85,18.069,3.77E-05,BNB
25-02-2022,DOTUPUSDT,BUY,1.0831,20,21.662,4.52E-05,BNB
25-02-2022,BNBUPUSDT,BUY,155.62,0.1,15.562,3.25E-05,BNB
25-02-2022,AVAXUSDT,BUY,74.06,0.14,10.3684,2.16E-05,BNB
25-02-2022,ADAUPUSDT,BUY,6.94,2,13.88,2.89E-05,BNB
12-02-2022,GRTUSDT,BUY,0.4183,42,17.5686,3.29E-05,BNB
12-02-2022,ETHUPUSDT,BUY,34.055,0.5,17.0275,3.19E-05,BNB
12-02-2022,ADAUPUSDT,BUY,15.39,1,15.39,2.89E-05,BNB
11-02-2022,ADAUPUSDT,BUY,18.892,1,18.892,3.41E-05,BNB
11-02-2022,ETHUPUSDT,BUY,38.36,0.5,19.18,3.45E-05,BNB
11-02-2022,NEARUSDT,BUY,11.876,1,11.876,2.14E-05,BNB
11-02-2022,DOTUPUSDT,BUY,1.7443,10.92,19.047756,3.43E-05,BNB
11-02-2022,LINKUPUSDT,BUY,0.25,100,25,4.63E-05,BNB
08-02-2022,UNIUSDT,BUY,12.53,1.2,15.036,2.57E-05,BNB
05-02-2022,WAXPUSDT,BUY,0.3654,30,10.962,2.05E-05,BNB
02-02-2022,DOTUPUSDT,BUY,1.5999,9.08,14.527092,2.92E-05,BNB
31-01-2022,LUNAUSDT,BUY,44.15,0.23,10.1545,2.06E-05,BNB
30-01-2022,IRISUSDT,BUY,0.06902,200,13.804,2.67E-05,BNB
30-01-2022,AXSUSDT,BUY,52.69,0.2,10.538,2.05E-05,BNB
29-01-2022,THETAUSDT,BUY,3.007,3.8,11.4266,2.19E-05,BNB
28-01-2022,LUNAUSDT,BUY,48.27,0.3,14.481,2.83E-05,BNB
28-01-2022,GLMRUSDT,BUY,6.1909,2,12.3818,2.42E-05,BNB
28-01-2022,FTMUSDT,BUY,2.0966,8,16.7728,3.24E-05,BNB
28-01-2022,AUDIOUSDT,BUY,0.872,13,11.336,2.20E-05,BNB
28-01-2022,ETHUPUSDT,BUY,22.527,1,22.527,4.38E-05,BNB
28-01-2022,DOTUPUSDT,BUY,1.3873,10,13.873,2.70E-05,BNB
28-01-2022,ADAUPUSDT,BUY,15.22,1,15.22,2.95E-05,BNB
28-01-2022,DUSKUSDT,BUY,0.6708,16,10.7328,2.06E-05,BNB
28-01-2022,DUSKUSDT,SELL,0.6712,15,10.068,1.94E-05,BNB
27-01-2022,AAVEUSDT,BUY,138.8,0.198,27.4824,5.68E-05,BNB
27-01-2022,BNBUPUSDT,BUY,186,0.1,18.6,3.85E-05,BNB
27-01-2022,BNBUPUSDT,BUY,186,0.01,1.86,3.84E-06,BNB
21-01-2022,SANDUSDT,BUY,3.8542,3,11.5626,2.00E-05,BNB
21-01-2022,XECUSDT,BUY,8.77E-05,116212,10.1917924,1.74E-05,BNB
21-01-2022,LINKUPUSDT,BUY,0.3589,50,17.945,3.15E-05,BNB
21-01-2022,ADAUPUSDT,BUY,23.753,0.63,14.96439,2.63E-05,BNB
21-01-2022,ADAUPUSDT,BUY,23.753,0.84,19.95252,3.51E-05,BNB
21-01-2022,XTZUPUSDT,BUY,0.00582,4225.15,24.590373,4.35E-05,BNB
20-01-2022,CLVUSDT,BUY,0.584,26.2,15.3008,2.46E-05,BNB
20-01-2022,DUSKUSDT,BUY,0.8176,15,12.264,1.96E-05,BNB
20-01-2022,XTZUPUSDT,BUY,0.00745,1342.29,10.0000605,1.64E-05,BNB
19-01-2022,CAKEUSDT,BUY,10.55,2,21.1,3.43E-05,BNB
19-01-2022,ETHUPUSDT,BUY,45.9,0.32,14.688,2.38E-05,BNB
19-01-2022,LINKUPUSDT,BUY,0.5061,50,25.305,4.09E-05,BNB
19-01-2022,GLMRUSDT,BUY,8.7905,2,17.581,2.83E-05,BNB
19-01-2022,DOTUPUSDT,BUY,2.537,3.35,8.49895,1.37E-05,BNB
19-01-2022,DOTUPUSDT,BUY,2.534,11.83,29.97722,4.85E-05,BNB
19-01-2022,ETHUPUSDT,BUY,45.216,0.23,10.39968,1.69E-05,BNB
19-01-2022,XTZUPUSDT,BUY,0.0075,1333.34,10.00005,1.65E-05,BNB
18-01-2022,DOTUPUSDT,BUY,2.653,3.77,10.00181,1.61E-05,BNB
17-01-2022,XTZUPUSDT,BUY,0.00917,1099.22,10.0798474,1.56E-05,BNB
15-01-2022,AUDIOUSDT,BUY,1.458,12,17.496,2.63E-05,BNB
14-01-2022,AAVEUSDT,BUY,218.8,0.038,8.3144,1.28E-05,BNB
14-01-2022,AAVEUSDT,BUY,218.8,0.012,2.6256,4.04E-06,BNB
14-01-2022,LINKDOWNUSDT,SELL,0.004978,2206.05,10.9817169,1.69E-05,BNB
12-01-2022,XTZUPUSDT,BUY,0.01035,982.12,10.164942,1.56E-05,BNB
10-01-2022,ETHUPUSDT,BUY,44.616,0.23,10.26168,1.81E-05,BNB
10-01-2022,XTZUPUSDT,BUY,0.008,1250,10,1.79E-05,BNB
10-01-2022,XTZUPUSDT,BUY,0.0081,1250,10.125,1.80E-05,BNB
10-01-2022,ADAUPUSDT,BUY,19,0.53,10.07,1.79E-05,BNB
09-01-2022,HIGHUSDT,BUY,8.44,1.188,10.02672,1.74E-05,BNB
09-01-2022,SANDUSDT,BUY,4.7419,3,14.2257,2.47E-05,BNB
09-01-2022,MANAUSDT,BUY,2.9564,4,11.8256,2.06E-05,BNB
09-01-2022,LINKDOWNUSDT,BUY,0.004532,2206.05,9.9978186,1.76E-05,BNB
09-01-2022,BNBUPUSDT,BUY,298.91,0.04,11.9564,2.09E-05,BNB
09-01-2022,DOTUPUSDT,BUY,2.478,6.05,14.9919,2.61E-05,BNB
09-01-2022,ETHUPUSDT,BUY,46.243,0.22,10.17346,1.77E-05,BNB
09-01-2022,ETHUPUSDT,BUY,46.387,0.27,12.52449,2.17E-05,BNB
09-01-2022,FTMUSDT,BUY,2.3573,5,11.7865,2.04E-05,BNB
09-01-2022,ADAUPUSDT,BUY,22.728,0.59,13.40952,2.31E-05,BNB
